items,freq
['5739056' '5739055'],48
['5834492'],66
['5622675'],19
['5840033'],26
['5707751'],21
['5854814'],18
['5746638'],21
['5860160'],30
['5858898'],20
['5802545'],23
['5563824'],35
['36748'],22
['5809824'],42
['5700050'],40
['5859470'],53
['5886556'],17
['5820782'],23
['5877493'],17
['5899830'],19
['5885380'],27
['5726464'],18
['60181'],30
['5850626'],29
['8706'],21
['5773310'],17
['5649726'],47
['5903807'],17
['5795701'],34
['5858992'],33
['5820786'],39
['5820786' '5820780'],18
['5584836'],109
['5869155'],94
['5869155' '5869134'],20
['5809910'],1994
['5850623'],21
['59978'],24
['5854827'],141
['5854827' '5854812'],22
['5854827' '5809911'],27
['5854827' '5809911' '5809912'],20
['5854827' '5809911' '5809910'],19
['5854827' '5809912'],50
['5854827' '5809912' '5809910'],27
['5854827' '5816170'],19
['5854827' '5809910'],57
['5774352'],27
['5903949'],40
['5875427'],19
['5772302'],53
['5772302' '5809910'],17
['5695650'],21
['5726197'],29
['5877788'],76
['5569518'],34
['5814066'],162
['5814066' '5809910'],18
['5801776'],21
['5793261'],123
['5857357'],112
['5856191'],36
['5837105'],18
['5883099'],23
['5852382'],43
['5770265'],26
['5839644'],55
['5657303'],26
['5857676'],17
['5806549'],50
['5873620'],19
['5802428'],73
['5834738'],70
['5723508'],31
['5885376'],65
['5885376' '5866166'],20
['5797160'],21
['5687146'],37
['5884212'],20
['5881424'],104
['5881424' '5836488'],20
['5772288'],23
['5723485'],35
['5857328'],42
['5752939'],41
['5723465'],17
['5726182'],24
['5629988'],52
['5881429'],49
['5859199'],17
['5894657'],19
['5787040'],19
['7652'],67
['5724282'],26
['5798930'],30
['5723494'],35
['5850622'],40
['5712990'],17
['5773346'],24
['5465'],27
['5899842'],19
['5773210'],31
['5706487'],30
['5867612'],18
['5857323'],55
['5811668'],53
['5750287'],19
['5806553'],28
['5760765'],75
['5760765' '5723496'],20
['5760765' '5723490'],17
['5813483'],32
['3762'],69
['3762' '4185'],54
['5763416'],19
['5753055'],31
['5870611'],38
['5870611' '5870610'],25
['24381'],21
['5844302'],36
['5663062'],43
['6499'],18
['5712790'],25
['5728118'],24
['5658569'],17
['5846802'],19
['5726198'],31
['5853702'],36
['5661520'],20
['5859184'],22
['5587652'],35
['5773359'],24
['5549782'],27
['4680'],18
['5904311'],27
['5778113'],30
['6948'],22
['5767927'],79
['5700047'],190
['5700047' '5686925'],40
['5700047' '5700035'],40
['5700047' '5700035' '5700046'],19
['5700047' '5700037'],47
['5700047' '5700037' '5686925'],19
['5700047' '5843836'],20
['5700047' '5854897'],20
['5700047' '5700046'],49
['5700047' '5700046' '5700037'],21
['5804022'],41
['5567970'],21
['5809288'],119
['5809288' '5809297'],17
['5809288' '5862943'],26
['5801196'],24
['5896614'],27
['5815658'],44
['5691024'],26
['59003'],57
['5882788'],30
['5873432'],17
['5646937'],83
['5646937' '5646938'],25
['5706781'],51
['5747369'],19
['5809871'],255
['5809871' '5686925'],20
['5809871' '5802432'],20
['5809871' '5854897'],21
['5809871' '5809910'],28
['5743974'],72
['5743974' '5759492'],28
['5743974' '5749199'],29
['5743974' '5749199' '5766980'],18
['5743974' '5766980'],24
['5836512'],21
['5784039'],152
['5784039' '5802432'],18
['5848909'],135
['5848909' '5862943'],23
['5848909' '5833334'],22
['5848909' '5809910'],20
['5744131'],37
['5565094'],23
['5876792'],45
['5843546'],58
['5763933'],42
['5528051'],225
['5528051' '5849033'],17
['5528051' '5528035'],36
['5528051' '5809910'],20
['5873619'],25
['5914524'],18
['5550074'],24
['5853686'],47
['5855281'],27
['5859421'],62
['5745826'],31
['5867090'],58
['5829347'],85
['5829347' '5829353'],42
['5829347' '5829353' '5829345'],29
['5829347' '5829345'],41
['5726161'],20
['5809796'],19
['5013'],386
['5013' '5792800'],18
