antecedent,consequent,confidence,lift,support
['5809913'],['5809912'],0.4745762711864407,16.49050701971339,0.0008645978076269878
['5809913'],['5809910'],0.4915254237288136,7.982974346769121,0.0008954763007565231
['5854828'],['5854827'],0.25,57.420212765957444,0.0005866913694611703
['5854828'],['5809911'],0.32894736842105265,25.731788710907708,0.000771962328238382
['5854828'],['5809908'],0.2236842105263158,52.876008451786404,0.0005249343832020997
['5854828'],['5809912'],0.4605263157894737,16.002301219787668,0.0010807472595337347
['5854828'],['5816170'],0.3026315789473684,20.001476906552096,0.0007102053419793114
['5854828'],['5809910'],0.5657894736842105,9.18911339281001,0.001327775204570017
['5733776'],['5733775'],0.2597402597402597,123.7012987012987,0.0006175698625907056
['5816172' '5816170'],['5816175'],0.21794871794871795,57.8546658259773,0.0005249343832020997
['5816172' '5816170'],['5816178'],0.34615384615384615,56.050961538461536,0.0008337193144974525
['5816172' '5816170'],['5816166'],0.34615384615384615,40.17990074441688,0.0008337193144974525
['5816172' '5816170'],['5809911'],0.44871794871794873,35.10079895949461,0.0010807472595337347
['5816172' '5816170'],['5809912'],0.5897435897435898,20.492324199405747,0.0014204106839586228
['5816172' '5816170'],['5809910'],0.7435897435897436,12.076807345112261,0.0017909526015130461
['5816172' '5816170'],['5816169'],0.2564102564102564,54.992358634742736,0.0006175698625907056
['5862936' '5809910'],['5862943'],0.9,88.32272727272728,0.000555812876331635
['5804462'],['5804463'],0.28888888888888886,170.1030303030303,0.0008028408213679172
['5804462'],['5815167'],0.24444444444444444,101.49145299145299,0.0006793268488497761
['5899834'],['5899833'],0.2857142857142857,106.35467980295566,0.000555812876331635
['5804463'],['5804462'],0.4727272727272727,170.1030303030303,0.0008028408213679172
['5745314' '5745313'],['5745320'],0.3333333333333333,179.91666666666666,0.0007102053419793114
['5809267'],['5862943'],0.2911392405063291,28.571346375143843,0.0007102053419793114
['5899831'],['5899845'],0.3333333333333333,97.25225225225225,0.0007410838351088467
